Symbol,Company Name,Market Cap,Industry,Sector,SBC / Revenue,FCF - SBC,
RIVN,"Rivian Automotive, Inc.",15.68B,Auto Manufacturers,Consumer Discretionary,19.59%,-6.97B,
OWL,Blue Owl Capital Inc.,18.87B,Asset Management,Financials,20.24%,528.03M,
WDAY,"Workday, Inc.",62.01B,Software - Application,Technology,20.50%,151.47M,
CRWD,"CrowdStrike Holdings, Inc.",50.47B,Software - Infrastructure,Technology,21.34%,258.57M,
NET,"Cloudflare, Inc.",25.03B,Software - Infrastructure,Technology,21.49%,-157.39M,
PINS,"Pinterest, Inc.",21.92B,Internet Content & Information,Communication Services,22.19%,-246.81M,
PLTR,Palantir Technologies Inc.,41.84B,Software - Infrastructure,Technology,22.24%,1.91M,
DDOG,"Datadog, Inc.",37.12B,Software - Application,Technology,23.24%,25.92M,
IOT,Samsara Inc.,14.56B,Software - Infrastructure,Technology,25.53%,-205.55M,
ZS,"Zscaler, Inc.",28.57B,Software - Infrastructure,Technology,26.66%,-6.08M,
TTD,"The Trade Desk, Inc.",34.14B,Software - Application,Technology,27.18%,104.62M,
MDB,"MongoDB, Inc.",28.88B,Software - Infrastructure,Technology,27.44%,-346.56M,
ZM,"Zoom Video Communications, Inc.",19.70B,Software - Application,Technology,29.36%,1.68M,
RBLX,Roblox Corporation,24.25B,Electronic Gaming & Multimedia,Communication Services,29.93%,-765.33M,
PATH,UiPath Inc.,10.48B,Software - Infrastructure,Technology,31.54%,-140.39M,
U,Unity Software Inc.,10.58B,Software - Application,Technology,31.62%,-587.48M,
SNAP,Snap Inc.,20.90B,Internet Content & Information,Communication Services,31.72%,-1.44B,
OKTA,"Okta, Inc.",11.66B,Software - Infrastructure,Technology,31.75%,-292.93M,
TPG,TPG Inc.,10.75B,Asset Management,Financials,32.64%,1.21B,
SNOW,Snowflake Inc.,56.42B,Software - Application,Technology,35.43%,-268.88M,
COIN,"Coinbase Global, Inc.",28.72B,Software - Application,Technology,40.65%,2.96B,
