Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
GOOGL,,,,,,,,,,,,,,,
GOOG,,,,,,,,,,,,,,,
NVDA,,,,,,,,,,,,,,,
UNH,,,,,,,,,,,,,,,
CRM,,,,,,,,,,,,,,,
AMD,,,,,,,,,,,,,,,
QCOM,,,,,,,,,,,,,,,
NOW,,,,,,,,,,,,,,,
UPS,,,,,,,,,,,,,,,
CAT,,,,,,,,,,,,,,,
ELV,,,,,,,,,,,,,,,
LMT,,,,,,,,,,,,,,,
BMY,,,,,,,,,,,,,,,
VRTX,,,,,,,,,,,,,,,
CVS,,,,,,,,,,,,,,,
REGN,,,,,,,,,,,,,,,
PANW,,,,,,,,,,,,,,,
CI,,,,,,,,,,,,,,,
SNPS,,,,,,,,,,,,,,,
BSX,,,,,,,,,,,,,,,
KLAC,,,,,,,,,,,,,,,
FI,,,,,,,,,,,,,,,
EOG,,,,,,,,,,,,,,,
ANET,,,,,,,,,,,,,,,
WDAY,,,,,,,,,,,,,,,
CMG,,,,,,,,,,,,,,,
MPC,,,,,,,,,,,,,,,
OXY,,,,,,,,,,,,,,,
APO,,,,,,,,,,,,,,,
CPRT,,,,,,,,,,,,,,,
PCAR,,,,,,,,,,,,,,,
AIG,,,,,,,,,,,,,,,
MCHP,,,,,,,,,,,,,,,
WMB,,,,,,,,,,,,,,,
DXCM,,,,,,,,,,,,,,,
ADSK,,,,,,,,,,,,,,,
KHC,,,,,,,,,,,,,,,
VLO,,,,,,,,,,,,,,,
DHI,,,,,,,,,,,,,,,
FTNT,,,,,,,,,,,,,,,
COR,,,,,,,,,,,,,,,
CNC,,,,,,,,,,,,,,,
NUE,,,,,,,,,,,,,,,
GM,,,,,,,,,,,,,,,
OKE,,,,,,,,,,,,,,,
SQ,,,,,,,,,,,,,,,
MPLX,,,,,,,,,,,,,,,
BK,,,,,,,,,,,,,,,
LEN,,,,,,,,,,,,,,,
AMP,,,,,,,,,,,,,,,
LEN.B,,,,,,,,,,,,,,,
LHX,,,,,,,,,,,,,,,
VRSK,,,,,,,,,,,,,,,
TTD,,,,,,,,,,,,,,,
IT,,,,,,,,,,,,,,,
VICI,,,,,,,,,,,,,,,
GPN,,,,,,,,,,,,,,,
IR,,,,,,,,,,,,,,,
ZS,,,,,,,,,,,,,,,
CQP,,,,,,,,,,,,,,,
VEEV,,,,,,,,,,,,,,,
EXR,,,,,,,,,,,,,,,
RCL,,,,,,,,,,,,,,,
PWR,,,,,,,,,,,,,,,
MPWR,,,,,,,,,,,,,,,
WBD,,,,,,,,,,,,,,,
SPLK,,,,,,,,,,,,,,,
KEYS,,,,,,,,,,,,,,,
HUBS,,,,,,,,,,,,,,,
TW,,,,,,,,,,,,,,,
TSCO,,,,,,,,,,,,,,,
WAB,,,,,,,,,,,,,,,
FCNCA,,,,,,,,,,,,,,,
HPE,,,,,,,,,,,,,,,
LYV,,,,,,,,,,,,,,,
CTRA,,,,,,,,,,,,,,,
NVR,,,,,,,,,,,,,,,
MKL,,,,,,,,,,,,,,,
PTC,,,,,,,,,,,,,,,
STLD,,,,,,,,,,,,,,,
WRB,,,,,,,,,,,,,,,
AXON,,,,,,,,,,,,,,,
DECK,,,,,,,,,,,,,,,
BLDR,,,,,,,,,,,,,,,
ALGN,,,,,,,,,,,,,,,
EQT,,,,,,,,,,,,,,,
SMCI,,,,,,,,,,,,,,,
RS,,,,,,,,,,,,,,,
WSO,,,,,,,,,,,,,,,
AVY,,,,,,,,,,,,,,,
EPAM,,,,,,,,,,,,,,,
MRO,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,,
MAA,,,,,,,,,,,,,,,
SWK,,,,,,,,,,,,,,,
POOL,,,,,,,,,,,,,,,
MGM,,,,,,,,,,,,,,,
ENPH,,,,,,,,,,,,,,,
CSL,,,,,,,,,,,,,,,
WPC,,,,,,,,,,,,,,,
VST,,,,,,,,,,,,,,,
TPL,,,,,,,,,,,,,,,
CFG,,,,,,,,,,,,,,,
FNF,,,,,,,,,,,,,,,
LKQ,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,
OC,,,,,,,,,,,,,,,
WSM,,,,,,,,,,,,,,,
INCY,,,,,,,,,,,,,,,
PSTG,,,,,,,,,,,,,,,
SAIA,,,,,,,,,,,,,,,
NBIX,,,,,,,,,,,,,,,
FIVE,,,,,,,,,,,,,,,
EME,,,,,,,,,,,,,,,
