Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
AAPL,,,,,,,,,,,,,,,
MSFT,,,,,,,,,,,,,,,
