Ticker,Name,Industry,Dividend Yield,Dividend Safety
MGEE,MGE Energy,Electric Utilities,2.30%,Very Safe
MGRC,McGrath RentCorp,Trading Companies and Distributors,1.82%,Very Safe
MKC,McCormick & Company,Packaged Foods and Meats,2.52%,Safe
MKTX,MarketAxess,Financial Exchanges and Data,1.13%,Very Safe
MMC,Marsh & McLennan Companies,Insurance Brokers,1.44%,Safe
MRK,Merck,Pharmaceuticals,2.90%,Very Safe
MSA,MSA Safety Incorporated,Office Services and Supplies,1.08%,Very Safe
MSEX,Middlesex Water Company,Water Utilities,1.92%,Very Safe
MSFT,Microsoft,Systems Software,0.80%,Very Safe
NDSN,Nordson Corporation,Industrial Machinery and Supplies and Components,1.14%,Very Safe
NEE,NextEra Energy,Electric Utilities,3.18%,Very Safe
NKE,Nike,Footwear,1.27%,Very Safe
NOC,Northrop Grumman,Aerospace and Defense,1.57%,Safe
NSP,Insperity,Human Resource and Employment Services,1.97%,Safe
NUE,Nucor,Steel,1.23%,Very Safe
ORCL,Oracle,Systems Software,1.39%,Very Safe
PAYX,Paychex,Human Resource and Employment Services,2.88%,Safe
PB,Prosperity Bancshares,Regional Banks,3.52%,Very Safe
PEP,PepsiCo,Soft Drinks and Non-alcoholic Beverages,3.01%,Very Safe
PG,Procter & Gamble,Household Products,2.56%,Very Safe
PII,Polaris,Leisure Products,3.02%,Safe
PKG,Packaging Corporation of America,Paper and Plastic Packaging Products and Materials,3.02%,Safe
HIFS,Hingham Institution for Savings,Regional Banks,1.48%,
POOL,Pool Corp,Distributors,1.23%,Safe
PPG,PPG Industries,Specialty Chemicals,1.81%,Very Safe
PRGO,Perrigo Company,Pharmaceuticals,3.53%,Safe
QCOM,Qualcomm,Semiconductors,2.42%,Safe
ANDE,Andersons,Food Distributors,1.41%,
RGA,Reinsurance Group of America,Reinsurance,2.09%,Very Safe
RGLD,Royal Gold,Gold,1.35%,Safe
RHI,Robert Half,Human Resource and Employment Services,2.33%,Very Safe
RJF,Raymond James,Investment Banking and Brokerage,1.71%,Very Safe
RLI,RLI Corp.,Property and Casualty Insurance,0.78%,Very Safe
ROK,Rockwell Automation,Electrical Components and Equipment,1.81%,Safe
ROP,Roper Technologies,Application Software,0.56%,Very Safe
RPM,RPM International,Specialty Chemicals,1.72%,Safe
RRX,Regal Rexnord Corporation,Electrical Components and Equipment,1.12%,Safe
RS,Reliance Steel & Aluminum Co.,Steel,1.48%,Safe
RSG,Republic Services,Environmental and Facilities Services,1.32%,Safe
RTX,RTX Corporation,Aerospace and Defense,2.84%,Safe
SBUX,Starbucks,Restaurants,2.37%,Safe
SCI,Service Corporation International,Specialized Consumer Services,1.80%,Safe
SCL,Stepan Company,Specialty Chemicals,1.73%,Very Safe
SEIC,SEI Investments Company,Asset Management and Custody Banks,1.43%,Very Safe
SHW,Sherwin-Williams,Specialty Chemicals,0.85%,Very Safe
PRI,Primerica,Life and Health Insurance,1.22%,
SJM,J.M. Smucker,Packaged Foods and Meats,3.65%,Safe
SJW,SJW Group,Water Utilities,2.25%,Very Safe
LNN,Lindsay,Agricultural and Farm Machinery,1.17%,
SLGN,Silgan Holdings,"Metal, Glass and Plastic Containers",1.70%,Safe
SNA,Snap-on,Industrial Machinery and Supplies and Components,2.67%,Very Safe
SON,Sonoco Products,Paper and Plastic Packaging Products and Materials,3.74%,Safe
SPGI,S&P Global,Financial Exchanges and Data,0.85%,Very Safe
SRCE,1st Source Corporation,Regional Banks,2.70%,Very Safe
STE,STERIS plc,Health Care Equipment,1.05%,Very Safe
SWK,Stanley Black & Decker,Industrial Machinery and Supplies and Components,3.50%,Safe
SXT,Sensient Technologies Corporation,Specialty Chemicals,2.72%,Very Safe
LFUS,Littelfuse,Electronic Components,1.07%,
SYBT,Stock Yards Bancorp,Regional Banks,2.55%,Very Safe
